Mult = 25.8716535 	Temp = b'\n'
Mult = 25.5296129 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128469  \n'
Mult = 25.5271105 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128533  \n'
Mult = 25.5230305 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128446  \n'
Mult = 25.5202252 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128504  \n'
Mult = 25.5181349 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128376  \n'
Mult = 25.514395 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128467  \n'
Mult = 25.5112528 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128433  \n'
Mult = 25.5092101 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128578  \n'
Mult = 25.5055244 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128390  \n'
Mult = 25.50413 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128504  \n'
Mult = 25.5032035 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128477  \n'
Mult = 25.5012737 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128412  \n'
Mult = 25.4994123 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128499  \n'
Mult = 25.4964355 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128199  \n'
Mult = 25.4926978 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128414  \n'
Mult = 25.4914318 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128441  \n'
Mult = 25.4904907 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128363  \n'
Mult = 25.4899459 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128362  \n'
Mult = 25.4890227 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128622  \n'
Mult = 25.4882885 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128410  \n'
Mult = 25.489026 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128438  \n'
Mult = 25.4910728 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128589  \n'
Mult = 25.4931249 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128551  \n'
Mult = 25.4949539 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128701  \n'
